,release_date,movie,production_budget_millions,domestic_gross_millions,worldwide_gross_millions,vote_average,vote_count,start_year,genres,directors_name,movie_profits_millions
388,12-Feb-10,Percy Jackson & the Olympians: The Lightning Thief,95.0,88.768303,223.050874,6.1,4229,2010,"Adventure,Family,Fantasy",Chris Columbus,128.050874
389,10-Aug-12,The Campaign,95.0,86.907746,104.907746,5.7,982,2012,Comedy,Jay Roach,9.907746000000003
391,12-Nov-10,Unstoppable,95.0,81.562942,165.720921,6.4,1913,2010,"Action,Thriller",Tony Scott,70.720921
401,19-Aug-16,Ben-Hur,95.0,26.410477,91.669648,5.6,1068,2016,"Action,Adventure,Drama",Timur Bekmambetov,-3.330352000000005
402,18-Nov-59,Ben-Hur,15.0,73.0,73.259017,5.6,1068,2016,"Action,Adventure,Drama",Timur Bekmambetov,58.259017
403,6-Feb-15,Seventh Son,95.0,17.725785,108.874967,5.3,1549,2014,"Action,Adventure,Fantasy",Sergei Bodrov,13.874966999999998
404,13-Feb-15,Kingsman: The Secret Service,94.0,128.261724,404.561724,7.6,10287,2014,"Action,Adventure,Comedy",Matthew Vaughn,310.561724
405,5-Aug-11,Rise of the Planet of the Apes,93.0,176.760185,470.9862,7.2,7259,2011,"Action,Drama,Sci-Fi",Rupert Wyatt,377.9862
406,14-Feb-13,A Good Day to Die Hard,92.0,67.349198,304.249198,5.2,4437,2013,"Action,Thriller",John Moore,212.24919799999998
407,25-Dec-13,The Secret Life of Walter Mitty,91.0,58.236838,187.861183,7.1,4859,2013,"Adventure,Comedy,Drama",Ben Stiller,96.86118300000001
408,20-Dec-17,Jumanji: Welcome to the Jungle,90.0,404.508916,964.496193,6.7,7213,2017,"Action,Adventure,Comedy",Jake Kasdan,874.496193
409,25-Dec-09,Sherlock Holmes,90.0,209.028679,498.438212,5.6,53,2011,Adventure,George Anton,408.438212
410,15-Apr-11,Rio,90.0,143.619809,487.519809,6.6,3730,2011,"Adventure,Animation,Comedy",Carlos Saldanha,397.519809
412,20-Dec-11,The Girl with the Dragon Tattoo,90.0,102.515793,239.37397,7.3,3971,2011,"Crime,Drama,Mystery",David Fincher,149.37397
413,23-Sep-16,The Magnificent Seven,90.0,93.432655,162.525156,6.2,3647,2016,"Action,Adventure,Western",Antoine Fuqua,72.52515600000001
414,18-Dec-15,Alvin and the Chipmunks: The Road Chip,90.0,85.886987,249.517956,5.8,852,2015,"Adventure,Animation,Comedy",Walt Becker,159.517956
415,24-Jul-15,Pixels,90.0,78.765986,244.041804,7.1,35,2010,"Action,Comedy",Jacek Lusinski,154.041804
419,7-Aug-13,Percy Jackson: Sea of Monsters,90.0,68.559554,200.859554,5.9,3109,2013,"Adventure,Family,Fantasy",Thor Freudenthal,110.859554
420,10-Jun-16,Now You See Me 2,90.0,65.07554,328.325007,6.8,6744,2016,"Action,Adventure,Comedy",Jon M. Chu,238.32500700000003
421,4-Apr-97,The Saint,90.0,61.363304,169.4,5.1,133,2016,Drama,Andrius Blazevicius,79.4
422,16-Mar-18,Tomb Raider,90.0,58.250803,273.477501,6.3,4310,2018,"Action,Adventure,Fantasy",Roar Uthaug,183.47750100000002
423,19-Aug-11,Conan the Barbarian,90.0,21.295021,63.356133,5.2,1024,2011,"Action,Adventure,Fantasy",Marcus Nispel,-26.643867
424,14-May-82,Conan the Barbarian,20.0,38.264085,79.114085,5.2,1024,2011,"Action,Adventure,Fantasy",Marcus Nispel,59.114085
425,21-Oct-11,The Three Musketeers,90.0,20.377913,139.877913,5.7,1596,2011,"Action,Adventure,Romance",Paul W.S. Anderson,49.87791300000001
427,21-Apr-17,The Promise,90.0,8.224288,10.551417,9.0,1,2017,Drama,Edwine Dorival,-79.448583
433,24-Nov-10,The Nutcracker in 3D,90.0,0.195459,20.466016,5.5,97,2010,"Action,Family,Fantasy",Andrey Konchalovskiy,-69.533984
434,14-Sep-18,The Predator,88.0,51.024708,159.487563,5.2,2018,2018,"Action,Adventure,Sci-Fi",Shane Black,71.487563
435,21-Mar-14,Divergent,85.0,150.947895,276.014965,6.9,8279,2014,"Action,Adventure,Mystery",Neil Burger,191.01496500000002
436,28-Sep-12,Hotel Transylvania,85.0,148.313048,378.505812,6.9,5013,2012,"Animation,Comedy,Family",Genndy Tartakovsky,293.505812
437,10-Feb-12,Safe House,85.0,126.18163,208.542162,6.4,1997,2012,"Action,Adventure,Crime",Daniel Espinosa,123.54216199999999
438,4-Nov-11,Tower Heist,85.0,78.04657,150.422946,6.0,1592,2011,"Action,Comedy,Crime",Brett Ratner,65.422946
439,30-Mar-12,Mirror Mirror,85.0,64.935167,173.613482,5.8,2099,2012,"Adventure,Comedy,Drama",Tarsem Singh,88.613482
440,20-Jan-17,xXx: Return of Xander Cage,85.0,44.898413,345.033359,5.6,2452,2017,"Action,Adventure,Thriller",D.J. Caruso,260.033359
441,30-Jul-10,Cats & Dogs: The Revenge of Kitty Galore,85.0,43.585753,113.026383,4.9,273,2010,"Action,Comedy,Family",Brad Peyton,28.026382999999996
442,9-May-97,Father's Day,85.0,28.68108,35.68108,5.9,37,2020,Action,Quentin Lee,-49.31892
445,20-Dec-17,The Greatest Showman,84.0,174.340174,386.66555,8.0,5197,2017,"Biography,Drama,Musical",Michael Gracey,302.66555
446,19-Jul-13,RED 2,84.0,53.26256,141.507355,6.5,2368,2013,"Action,Comedy,Crime",Dean Parisot,57.50735499999999
447,13-Aug-10,The Expendables,82.0,103.068524,268.268174,6.1,4647,2010,"Action,Adventure,Thriller",Sylvester Stallone,186.268174
448,23-Mar-12,The Hunger Games,80.0,408.010692,677.923379,7.1,14587,2012,"Action,Adventure,Sci-Fi",Gary Ross,597.923379
449,26-May-11,The Hangover Part II,80.0,254.464305,586.464305,6.4,6231,2011,"Comedy,Mystery",Todd Phillips,506.46430499999997
450,10-Feb-17,The Lego Batman Movie,80.0,175.750384,310.660018,7.2,2882,2017,"Action,Animation,Comedy",Chris McKay,230.66001799999998
451,25-Sep-15,Hotel Transylvania 2,80.0,169.70011,469.500298,6.7,3184,2015,"Animation,Comedy,Family",Genndy Tartakovsky,389.500298
452,12-Jul-13,Grown Ups 2,80.0,133.668525,247.023808,5.9,2090,2013,Comedy,Dennis Dugan,167.023808
453,16-Dec-11,Alvin and the Chipmunks: Chipwrecked,80.0,133.107389,349.088523,5.5,1055,2011,"Adventure,Animation,Comedy",Mike Mitchell,269.088523
454,19-Feb-10,Shutter Island,80.0,128.012934,299.461782,8.1,12625,2010,"Mystery,Thriller",Martin Scorsese,219.46178200000003
455,17-Dec-10,Yogi Bear,80.0,100.246011,204.77469,5.3,387,2010,"Adventure,Animation,Comedy",Eric Brevig,124.77468999999999
456,17-Oct-14,Fury,80.0,85.817906,210.315681,7.4,6653,2014,"Action,Drama,War",David Ayer,130.315681
457,8-Jul-11,Zookeeper,80.0,80.360866,170.805525,5.3,886,2011,"Comedy,Family,Romance",Frank Coraci,90.80552499999999
458,8-Aug-97,Conspiracy Theory,80.0,76.11899,142.783718,6.5,707,2016,"Horror,Thriller",Jake Myers,62.78371799999999
460,8-Jun-01,Evolution,80.0,38.311134,98.341932,6.3,73,2015,"Drama,Mystery,Sci-Fi",Lucile Hadzihalilovic,18.341932
461,6-Dec-96,Daylight,80.0,32.90829,158.90829,4.2,3,2010,"Crime,Horror,Thriller",David Barker,78.90829
463,23-Oct-15,The Last Witch Hunter,80.0,27.36766,130.818912,5.8,2193,2015,"Action,Adventure,Fantasy",Breck Eisner,50.81891200000001
464,21-Feb-14,Pompeii,80.0,23.169033,108.469033,5.4,2078,2014,"Action,Adventure,Drama",Paul W.S. Anderson,28.469032999999996
465,18-Dec-09,Nine,80.0,19.676965,53.508858,9.0,1,2016,Horror,Darren Lynch,-26.491142000000004
466,15-Jun-94,The Lion King,79.3,421.785283,986.214868,8.2,10160,2019,"Adventure,Animation,Drama",Jon Favreau,906.9148680000001
467,10-Feb-12,Journey 2: The Mysterious Island,79.0,103.86029,318.146162,5.9,2152,2012,"Action,Adventure,Comedy",Brad Peyton,239.146162
468,11-Nov-11,Jack and Jill,79.0,74.158157,150.519217,4.1,1124,2011,Comedy,Dennis Dugan,71.519217
469,12-Feb-16,The Little Prince,77.5,1.311213,102.028919,7.6,1493,2019,Action,Zhang Lei,24.528919000000002
471,20-Jul-18,The Equalizer 2,77.0,102.084362,190.453132,6.4,2089,2018,"Action,Crime,Thriller",Antoine Fuqua,113.45313200000001
472,25-Jun-10,Grown Ups,75.0,162.001186,272.22343,6.1,3171,2010,Comedy,Dennis Dugan,197.22343
473,31-May-13,Now You See Me,75.0,117.723989,342.7692,7.4,9871,2013,"Crime,Mystery,Thriller",Louis Leterrier,267.7692
475,3-Aug-18,Christopher Robin,75.0,99.215042,197.504758,7.4,1280,2018,"Adventure,Animation,Comedy",Marc Forster,122.50475800000001
476,11-Nov-11,Immortals,75.0,83.504017,211.562435,5.8,1431,2011,"Action,Drama,Fantasy",Tarsem Singh,136.562435
477,16-Apr-99,Life,75.0,64.062587,73.521587,6.1,210,2010,Documentary,Patrick Epape,-1.4784130000000033
479,24-Mar-17,Life,58.0,30.234022,100.929666,6.1,210,2010,Documentary,Patrick Epape,42.929666
497,4-Jun-10,Killers,75.0,47.059963,95.572749,5.8,1314,2010,"Action,Comedy,Romance",Robert Luketic,20.572749
498,25-Mar-11,Sucker Punch,75.0,36.392502,89.758389,6.0,2716,2011,"Action,Adventure,Fantasy",Zack Snyder,14.758388999999994
499,11-Mar-05,Hostage,75.0,34.636443,77.636443,3.8,3,2012,Thriller,Tony Glazer,2.636443
501,28-Oct-16,Inferno,75.0,34.343574,219.519367,5.9,3877,2018,Documentary,Patrick Fileti,144.519367
506,22-Mar-13,Olympus Has Fallen,70.0,98.927592,172.878928,6.2,4086,2013,"Action,Thriller",Antoine Fuqua,102.878928
507,25-Dec-11,War Horse,70.0,79.883359,156.815529,7.2,1849,2011,"Drama,History,War",Steven Spielberg,86.815529
508,7-Feb-14,The Monuments Men,70.0,78.03162,158.702748,5.9,2229,2014,"Comedy,Drama,History",George Clooney,88.70274800000001
509,17-Jun-94,Wolf,70.0,65.011757,131.011757,7.0,2,2010,"Action,Crime,Drama",Stef Desmyter,61.01175699999999
521,10-Oct-14,Dracula Untold,70.0,55.99188,220.241723,6.2,3719,2014,"Action,Drama,Fantasy",Gary Shore,150.241723
522,29-Sep-06,The Guardian,70.0,55.011732,94.97354,5.3,2,2011,Drama,Mark Tuff,24.97354
532,14-Jan-11,The Dilemma,70.0,48.47529,70.546865,5.3,448,2011,"Comedy,Drama",Ron Howard,0.5468649999999968
533,15-Jun-12,Rock of Ages,70.0,38.518613,61.031932,6.1,686,2012,"Comedy,Drama,Musical",Adam Shankman,-8.968068000000002
534,7-Jun-02,Bad Company,70.0,30.157016,69.157016,10.0,1,2010,Thriller,Jason King,-0.8429840000000013
536,29-Jan-16,The Finest Hours,70.0,27.569558,49.252761,6.4,943,2016,"Action,Drama,History",Craig Gillespie,-20.747239
537,18-Oct-13,Escape Plan,70.0,25.135965,103.735965,6.7,2799,2013,"Action,Crime,Mystery",Mikael Håfström,33.73596499999999
538,23-Sep-11,Killer Elite,70.0,25.124986,65.409046,6.2,1093,2011,"Action,Crime,Thriller",Gary McKendry,-4.590953999999996
539,10-Jan-14,The Legend of Hercules,70.0,18.848538,58.953319,4.5,805,2014,"Action,Adventure,Fantasy",Renny Harlin,-11.046681
540,16-Jan-15,Blackhat,70.0,8.00598,19.665004,5.3,1165,2015,"Action,Crime,Thriller",Michael Mann,-50.334996000000004
541,30-Jul-10,Dinner for Schmucks,69.0,73.026337,86.796502,5.6,920,2010,Comedy,Jay Roach,17.796502000000004
542,2-Mar-18,Red Sparrow,69.0,46.874505,145.951861,6.5,3406,2018,"Action,Drama,Thriller",Francis Lawrence,76.95186100000001
543,30-Jun-10,The Twilight Saga: Eclipse,68.0,300.531751,706.102828,6.0,4909,2010,"Adventure,Drama,Fantasy",David Slade,638.102828
544,26-Jun-15,Ted 2,68.0,81.476385,217.214143,6.1,4227,2015,Comedy,Seth MacFarlane,149.214143
545,21-Mar-03,Dreamcatcher,68.0,33.685268,75.685268,5.2,5,2015,"Crime,Documentary,Drama",Kim Longinotto,7.6852679999999935
547,22-Dec-17,Downsizing,68.0,24.449754,54.462971,5.1,1887,2017,"Drama,Sci-Fi",Alexander Payne,-13.537028999999997
548,22-Jun-12,Abraham Lincoln: Vampire Hunter,67.5,37.519139,137.48973,5.6,2009,2012,"Action,Fantasy,Horror",Timur Bekmambetov,69.98973000000001
549,20-Sep-96,Last Man Standing,67.0,18.115927,18.115927,4.4,11,2010,"Biography,Crime,Documentary",Emilio Roso,-48.884073
551,14-Mar-14,Need for Speed,66.0,43.568507,194.169619,6.1,2389,2014,"Action,Crime,Thriller",Scott Waugh,128.169619
552,15-Dec-00,What Women Want,65.0,182.805123,374.105123,6.6,13,2011,"Comedy,Romance,Sci-Fi",Daming Chen,309.105123
553,9-Nov-12,Lincoln,65.0,182.207973,273.346281,6.8,2261,2012,"Biography,Drama,History",Steven Spielberg,208.34628099999998
